Metric,Value
Return %,19.684965199191765
Buy & Hold Return %,94.16599382789849
Sharpe Ratio,0.28416222839455585
Max Drawdown %,-26.22199992754515
Win Rate %,65.78947368421053
Number of Trades,38.0
