Date,Close,High,Low,Open,Volume,MA20,MA50,RSI,Signal,Position
2022-01-03,177.93971252441406,178.79026689432098,173.73588518068755,173.85319685203027,104487900,,,,0,
2022-01-04,175.6813507080078,178.84889968411812,175.1143195069881,178.5458346271631,99310400,,,,0,0.0
2022-01-05,171.00830078125,176.1408961877194,170.73456355297643,175.59342173117227,94537600,,,,0,0.0
2022-01-06,168.153564453125,171.37976954533002,167.80161453547433,168.83790737145776,96904000,,,,0,0.0
2022-01-07,168.31976318359375,170.2457092977057,167.2052575825263,169.0236630282213,86709100,,,,0,0.0
2022-01-10,168.3393096923828,168.64237476166727,164.4092049558039,165.29885816519484,106765600,,,,0,0.0
2022-01-11,171.1647186279297,171.26247339503044,166.99998962694013,168.46644539148625,76138300,,,,0,0.0
2022-01-12,171.60467529296875,173.2177708823876,170.910561158879,172.1814777238459,74805200,,,,0,0.0
2022-01-13,168.3393096923828,172.67023424322653,167.94824595979313,171.8490227811223,84505800,,,,0,0.0
2022-01-14,169.19972229003906,169.89383653250556,167.26398937942363,167.50839874431875,80440800,,,,0,0.0
2022-01-18,166.0027618408203,168.68147761318977,165.62148401611884,167.6745127192973,90956700,,,,0,0.0
2022-01-19,162.51260375976562,167.25414945182573,162.22909557704548,166.19829964047344,94815000,,,,0,0.0
2022-01-20,160.83106994628906,165.8854518373375,160.50844792121475,163.24583471657064,91420500,,,,0,0.0
2022-01-21,158.77804565429688,162.61038131219433,158.67050497614542,160.74309086318223,122848900,,,14.597490734341847,0,0.0
2022-01-24,158.00567626953125,158.67047714081284,151.24043048620277,156.44146612794097,162294600,,,13.969219601158997,0,0.0
2022-01-25,156.2068328857422,159.1201868610098,153.50856023591945,155.424720331175,115798400,,,12.608170037869058,0,0.0
2022-01-26,156.11886596679688,160.7137572085088,154.29068942101793,159.84366081362626,108275300,,,12.54380621319666,0,0.0
2022-01-27,155.65936279296875,160.17604091465265,154.7403816352541,158.817126094803,121954600,,,12.193637857869803,0,0.0
2022-01-28,166.5209197998047,166.5404767176366,159.1593140383979,162.0042414218655,179935700,,,48.66978198361998,0,0.0
2022-01-31,170.87144470214844,171.08652609979308,165.71929199639752,166.3547651867335,115541600,166.0629005432129,,56.46998660578068,0,0.0
2022-02-01,170.70523071289062,170.93008309016165,168.45666218750117,170.11864243059435,86213900,165.70117645263673,,56.11911012366766,0,0.0
2022-02-02,171.90771484375,171.94682868403083,169.45385093947993,170.84209391826516,84914300,165.51249465942382,,58.14528723624191,0,0.0
2022-02-03,169.033447265625,172.29876649074853,168.27089152715305,170.57811566132818,89418100,165.41375198364258,,51.96834689235073,0,0.0
2022-02-04,168.7495880126953,170.4234840013588,167.07569202403184,168.05457472378333,82465400,165.44355316162108,,51.38774428234812,0,0.0
2022-02-07,168.03500366210938,170.2766384169295,167.33999039041194,169.20965988540354,77251200,165.42931518554687,,49.877052079816856,0,0.0
2022-02-08,171.13807678222656,171.6471000057892,167.80986639624405,168.1035342150904,74829200,165.56925354003906,,55.93509643879114,0,0.0
2022-02-09,172.55740356445312,172.91958530484067,171.20654095307694,172.3322647747442,71285000,165.63888778686524,,58.41108430990098,0,0.0
2022-02-10,168.48526000976562,171.77430598076174,167.92730472233933,170.46260694632986,90865900,165.48291702270507,,49.77033139224081,0,0.0
2022-02-11,165.0787811279297,169.4250227899619,164.4914455219278,168.690860750742,98670700,165.31989059448242,,43.917556846242405,0,0.0
2022-02-14,165.31370544433594,165.99892030677,163.04269054419584,163.83558309476697,86185500,165.12558975219727,,44.40312322948094,0,0.0
2022-02-15,169.14112854003906,169.29775335068365,166.65477315145358,167.35956986279012,62527400,165.2825080871582,,51.735029685321614,0,0.0
2022-02-16,168.9062042236328,169.67951494494773,166.45899759893967,168.2209893560315,61177400,165.60218811035156,,51.28794683010717,0,0.0
2022-02-17,165.31370544433594,168.27971865617212,164.91235997613748,167.4182971510757,69589300,165.8263198852539,,44.89817510325479,0,0.0
2022-02-18,163.76705932617188,166.93862933962222,162.68049906023276,166.23384762062662,82772700,166.07577056884764,,42.44635051627529,0,0.0
2022-02-22,160.84996032714844,163.16990679491468,158.7257724120898,161.4960113480749,91162800,166.2179847717285,,38.20832469914273,0,0.0
2022-02-23,156.68978881835938,162.64138354838985,156.37653912911182,162.0442643977581,90009200,166.24213256835938,,33.12828662318512,0,0.0
2022-02-24,159.30340576171875,159.4110834763149,148.79019822079562,149.35795208534202,141147500,166.40135955810547,,38.647260238032516,0,0.0
2022-02-25,161.3688201904297,161.6331077669388,157.47285626304333,160.38013909716133,91974200,166.68683242797852,,42.673687231604326,0,0.0
2022-02-28,161.63311767578125,161.92678549313706,158.99992064321486,159.61662156600548,95056600,166.44244232177735,,43.18749458736198,0,0.0
2022-03-01,159.75367736816406,163.08188800417662,158.54965565066482,161.2220016361372,83474400,165.8865539550781,,40.413575595293935,0,0.0
2022-03-02,163.042724609375,163.82583387430233,159.50895693417934,160.91855062373517,79724800,165.50342864990233,,46.84762903307639,0,0.0
2022-03-03,162.7196502685547,165.3430634011942,162.05401727070716,164.91235266773373,76678400,165.04402542114258,,46.318563512873965,0,0.0
2022-03-04,159.7242889404297,162.0540345545001,158.67689221468046,161.01642127862274,83737200,164.5785675048828,,41.62495313507095,0,0.0
2022-03-07,155.93600463867188,161.53521443024337,155.68148559760553,159.91026569329455,96418800,163.93788833618163,,36.57676762623267,0,0.0
2022-03-08,154.11526489257812,159.4403881412621,152.50989817230385,155.4661275372027,131148300,163.24190139770508,,34.416356375717825,0,0.0
2022-03-09,159.50892639160156,159.95921898709753,156.04368834876885,158.06996768709067,91454900,162.66044387817382,,44.81491854330804,0,0.0
2022-03-10,155.1724853515625,157.0029911685478,152.6861150001443,156.81700107101284,105342000,161.79119796752929,,39.405297920622544,0,0.0
2022-03-11,151.46250915527344,155.91642822664025,151.23737032666907,155.57381332247203,96970100,160.9400604248047,,35.461426396543374,0,0.0
2022-03-14,147.4392852783203,150.86537421208124,146.9302771053436,148.2517595892854,108732100,160.0580856323242,,31.75031537135429,0,0.0
2022-03-15,151.81488037109375,152.2847547162285,147.204352250739,147.7133603864597,92964300,159.3831443786621,163.99850219726562,39.20246135714871,-1,-1.0
2022-03-16,156.21987915039062,156.6212246232631,151.19822129277074,153.73352378158447,102300200,158.7370819091797,163.56410552978517,45.637795665450916,-1,0.0
2022-03-17,157.2281494140625,157.6001296550613,154.3012994227279,155.26060037752023,75615400,158.15317916870117,163.19504150390625,47.02012614903651,-1,0.0
2022-03-18,160.51719665527344,161.00663805311925,156.3863100625295,157.12047215929823,123511700,157.91335372924806,162.98521942138672,51.36467316261619,-1,0.0
2022-03-21,161.88760375976562,162.83712104497158,159.56764191840216,160.05708320205216,95811400,157.81938095092772,162.85990020751953,53.09073512434555,-1,0.0
2022-03-22,165.25497436523438,165.84229498697943,161.42753966012307,162.01486028186812,81532000,158.03963165283204,162.79860443115234,57.11796083369506,-1,0.0
2022-03-23,166.61563110351562,168.99430889731204,164.1096788423283,164.44251031244588,98062700,158.53592376708986,162.764130859375,58.66227706918219,-1,0.0
2022-03-24,170.39410400390625,170.46261801995993,166.61561651162776,167.44765777264146,90131400,159.09045867919923,162.74871856689452,62.68146081739596,-1,0.0
2022-03-25,171.03036499023438,171.578536843318,169.10196511927478,170.20810721060892,80546200,159.57353591918945,162.73723236083984,63.32805079995931,-1,0.0
2022-03-28,171.8917999267578,172.0190445148475,168.36781639958284,168.53422465828777,90371900,160.0864700317383,162.80828216552734,64.23164853005414,-1,0.0
2022-03-29,175.1808624267578,175.22979461470234,172.61617948078282,172.95879441578631,100589400,160.85782928466796,162.9279049682617,67.52215445732524,-1,0.0
2022-03-30,174.0159912109375,175.81713189197046,172.9685794955082,174.77951856347462,92633200,161.4064926147461,163.08816955566405,65.23327252875193,-1,0.0
2022-03-31,170.92271423339844,174.27049138056105,170.7171422878286,174.0845012718467,103049300,161.81664581298827,163.25637176513672,59.468409400758425,-1,0.0
2022-04-01,170.6290283203125,171.18699858724577,168.30908127405286,170.35494237968112,78751300,162.36188278198242,163.4523309326172,58.9358739156559,-1,0.0
2022-04-04,174.6717987060547,174.72074581921223,170.75626863844195,170.88352814533914,76468400,163.29867248535157,163.77020599365235,63.74837021878455,-1,0.0
2022-04-05,171.36318969726562,174.53477477488693,170.73670541562527,173.7516656886956,73401800,164.16106872558595,164.03735626220703,57.78024086296228,1,2.0
2022-04-06,168.201416015625,169.9634078617043,166.537318414103,168.7202226513366,89058800,164.5956932067871,164.2772479248047,52.702501699471505,1,0.0
2022-04-07,168.50486755371094,169.69910564386342,166.26323274049562,167.54556668896316,77594700,165.26231231689454,164.52496795654298,53.12824274494051,1,0.0
2022-04-08,166.4981689453125,168.15248323813117,165.6269638660641,168.15248323813117,76575500,166.01409530639648,164.74174407958984,49.927680815994115,1,0.0
2022-04-11,162.24978637695312,165.46052001953282,162.0050657338506,165.1472853633742,72246700,166.75462036132814,164.6563214111328,43.89827652876773,1,0.0
2022-04-12,164.11944580078125,166.28276779117587,163.12098145475815,164.4718441031093,79265200,167.3698486328125,164.52128143310546,46.93539356452086,1,0.0
2022-04-13,166.80160522460938,167.42808955183875,163.24827119923606,163.85517369033073,70618900,167.89893493652343,164.44320892333985,51.030957460771056,1,0.0
2022-04-14,161.7994842529297,167.653212444084,161.55476362429968,167.0169298477089,75329400,168.12750167846679,164.24104431152344,44.18221918555015,1,0.0
2022-04-18,161.58416748046875,163.08185675186522,160.11584349387897,160.45844346214486,69023900,168.18085021972655,164.09205871582031,43.909045286419385,1,0.0
2022-04-19,163.86497497558594,164.27611889634176,160.44868355818875,161.5352440651779,67723800,168.27971878051758,163.99436645507814,47.60460519105704,1,0.0
2022-04-20,163.69854736328125,165.31371275678185,162.59242008519655,165.19623667762264,67929800,168.20189743041993,163.90763732910156,47.35940821165418,1,0.0
2022-04-21,162.90565490722656,167.90774603308134,162.4064301142371,165.34307817395856,87227800,168.01639862060546,163.74298889160156,46.140086959396484,1,0.0
2022-04-22,158.37338256835938,164.32498956486253,158.08951323432865,162.94477668345723,84882400,167.4153625488281,163.4593084716797,39.82782689863774,1,0.0
2022-04-25,159.44039916992188,159.72426854560663,155.113739965227,157.71755627231695,96046400,166.8358642578125,163.27841125488283,41.84495613409494,1,0.0
2022-04-26,153.48883056640625,158.9118348666905,153.4105181477024,158.82373899686115,95623200,165.91571578979492,163.04661224365233,34.8311898643303,1,0.0
2022-04-27,153.263671875,156.41566043489684,152.09879906936447,152.61760570667977,88063200,164.81985626220703,162.80561157226563,34.594944786218235,1,0.0
2022-04-28,160.18434143066406,161.0457628626786,155.57379800357486,155.88704759214835,130216800,164.12827377319337,162.62647583007814,46.586817149364464,1,0.0
2022-04-29,154.32086181640625,162.6903124384376,153.9293146853147,158.42238298865084,131747600,163.29818115234374,162.3347689819336,39.91026452123733,1,0.0
2022-05-02,154.62429809570312,154.88858563658798,150.0333364297974,153.40069487713816,123055300,162.4979446411133,162.12098083496093,40.38640088137402,1,0.0
2022-05-03,156.11219787597656,157.31623426694395,153.0189401124905,154.81028218380573,88966500,161.56996459960936,161.96788360595704,42.78062617626016,-1,-2.0
2022-05-04,162.51409912109375,162.964376768375,155.8968429541357,156.29818841895514,108256500,161.12751007080078,162.00116638183593,51.75827258955319,-1,0.0
2022-05-05,153.4594268798828,160.61505617925764,151.6778534074066,160.38991736716943,130525300,160.39041061401366,161.9365591430664,41.77478900518179,-1,0.0
2022-05-06,154.1848602294922,156.30235682996496,151.1458596477854,152.93984857664353,116124600,159.67441024780274,161.83418823242187,42.7279246718226,-1,0.0
2022-05-09,149.06761169433594,152.76342612282588,148.5088364921623,151.88112823098254,131577900,158.8028823852539,161.5881640625,38.00212595544391,-1,0.0
2022-05-10,151.4694061279297,153.65553292727364,149.92049701176046,152.45954000160515,115366700,158.26386337280275,161.38488983154298,41.28458676383291,-1,0.0
2022-05-11,143.61700439453125,152.39087300235883,142.9405806152843,150.47925033829725,142689800,157.23874130249024,161.06215637207032,34.797846864906006,-1,0.0
2022-05-12,139.75454711914062,143.32291464808353,136.06854586723028,139.9604210928437,182602000,155.8863883972168,160.5963928222656,32.12412793555271,-1,0.0
2022-05-13,144.21498107910156,145.18550397266762,140.29369821646105,141.74456868725608,113990900,155.00716323852538,160.22629943847656,38.04440483901627,-1,0.0
2022-05-16,142.67588806152344,144.61693408926746,141.34265112461745,142.68570084334092,86643800,154.06174926757814,159.88533142089844,36.85004002893146,-1,0.0
2022-05-17,146.30308532714844,146.82265416778552,143.79345144967377,145.93055862687706,78336300,153.18365478515625,159.69267303466796,41.51036405610295,-1,0.0
2022-05-18,138.04876708984375,144.46005783667513,137.14685888931075,143.96009966859182,109742900,151.9011657714844,159.37134307861328,35.15271409661588,-1,0.0
2022-05-19,134.6470947265625,138.87227582415818,133.91185397987616,137.1273056487035,136095600,150.48823776245118,158.8741064453125,32.915360420917665,-1,0.0
2022-05-20,134.88235473632812,137.93115346240322,130.00036063657,136.3528361484188,137426100,149.3136863708496,158.4683038330078,33.23186887343056,-1,0.0
2022-05-23,140.29371643066406,140.4407585737006,134.941158046499,135.07840236616943,117726300,148.35635223388672,158.24492797851562,40.21856267101071,-1,0.0
2022-05-24,137.59786987304688,139.176187438702,134.6274981436638,138.03901137531423,104132700,147.56180419921876,158.04809967041015,38.08069581321804,-1,0.0
2022-05-25,137.75466918945312,138.99966571047085,135.61756228135172,135.70578755446192,92482700,146.7863540649414,157.76689544677734,38.28617613851129,-1,0.0
2022-05-26,140.95053100585938,141.49950829001511,134.44120114221013,134.68628135538745,90601500,145.82466354370118,157.46150848388672,42.47623381292165,-1,0.0
2022-05-27,146.6952362060547,146.7344424649416,142.40142537012454,142.52887188890233,90978500,145.4433822631836,157.25085021972657,49.158453290912156,-1,0.0
2022-05-31,145.9109344482422,147.69512536408004,143.95029298038025,146.13641898717157,103718400,145.00771408081056,156.95872497558594,48.33295365830011,-1,0.0
2022-06-01,145.7835235595703,148.75389460714223,144.7737792988703,146.95009283292427,74286600,144.49128036499025,156.63664337158204,48.191375572154016,-1,0.0
2022-06-02,148.23434448242188,148.29316134885798,143.96994216366954,144.92085472708317,72348100,143.77729263305665,156.29623077392577,51.155253284499274,-1,0.0
2022-06-03,142.51904296875,145.05807025566116,141.61714962601158,144.00911981753086,88570300,143.2302734375,155.81429901123047,44.728976448333356,-1,0.0
2022-06-06,143.26406860351562,145.64625571792195,142.04846553260185,144.13655344098794,71598400,142.68423385620116,155.27169830322265,45.68681262098035,-1,0.0
2022-06-07,145.7835235595703,146.06781003090646,141.26424373812605,141.50932395629872,67808200,142.5200294494629,154.76676147460938,48.91114609800041,-1,0.0
2022-06-08,145.0482635498047,146.92066479832334,144.5581031788664,145.6560576230458,53950200,142.19897232055663,154.2298907470703,48.01530013506949,-1,0.0
2022-06-09,139.8329620361328,145.03846322934638,139.7251261469218,144.1855888973648,69473000,142.00977020263673,153.5229327392578,42.12201089285184,-1,0.0
2022-06-10,134.43141174316406,137.9899664897166,134.36278209908923,137.51941663931075,91437900,141.74361343383788,152.73124114990233,37.04989902508978,-1,0.0
2022-06-13,129.2847137451172,132.53937106937602,128.85337019356888,130.25522177759234,122207100,140.99710006713866,151.8984811401367,32.975479108617435,-1,0.0
2022-06-14,130.14736938476562,131.25513655089347,128.89256009857948,130.51009821175379,84784300,140.37067413330078,151.08884796142578,34.28005518948707,-1,0.0
2022-06-15,132.7648162841797,134.63723228518424,129.55917858108418,131.6472513597461,91533000,139.69376068115236,150.25070831298828,38.20993648381664,-1,0.0
2022-06-16,127.50053405761719,129.7846835531672,126.50060254968962,129.4807864670593,108123900,139.166349029541,149.3734552001953,33.82854974080337,-1,0.0
2022-06-17,128.97097778320312,130.46106930716064,127.25541670605972,127.51030963953596,134520300,138.88254318237304,148.58884643554688,36.03488932710933,-1,0.0
2022-06-21,133.1962127685547,134.36279718069025,130.69640612370614,130.79442925101708,81000500,138.79823608398436,147.88267333984376,42.017438081363004,-1,0.0
2022-06-22,132.6864471435547,135.04900927487205,131.2747825760473,132.13745484401576,73409200,138.4178726196289,147.2064389038086,41.512972792994674,-1,0.0
2022-06-23,135.54901123046875,135.86270622381755,132.9609639616573,134.12754853756152,72433800,138.3154296875,146.6724234008789,45.47201833617873,-1,0.0
2022-06-24,138.87228393554688,139.1173641987572,137.01947774401722,137.14690930909833,89116800,138.37131042480468,146.16748016357423,49.72667035520328,-1,0.0
2022-06-27,138.87228393554688,140.666273257268,138.1958600157244,139.8918112487565,70207900,138.26739807128905,145.60889373779298,49.72667035520328,-1,0.0
2022-06-28,134.73532104492188,140.59763645444562,134.61768731128618,139.33302894232776,67083400,137.6694023132324,145.0676104736328,44.692121026439125,-1,0.0
2022-06-29,136.49008178710938,137.90174634957765,133.98046254650382,134.75492447437682,66242400,137.19835968017577,144.56572875976562,47.13692805264146,-1,0.0
2022-06-30,134.0294952392578,135.6470189893978,131.13755113159218,134.54906419941244,98964500,136.61065826416015,143.96901916503907,44.1873432259688,-1,0.0
2022-07-01,136.19598388671875,136.3038197907336,132.9903451154339,133.36285690870372,71051600,136.008740234375,143.41896789550782,47.31343657317465,-1,0.0
2022-07-05,138.7742156982422,138.82323473193733,134.2353254229341,135.05880629688934,73353800,135.8214988708496,142.93633911132812,50.84211940720734,-1,0.0
2022-07-06,140.10745239257812,141.28383440664965,138.30366564043456,138.56835645511603,74064300,135.66366806030274,142.5710205078125,52.60967239776841,-1,0.0
2022-07-07,143.469970703125,143.66603189279604,140.4603783389641,140.47017616296918,66253700,135.54799041748046,142.25161193847657,56.82608239063813,-1,0.0
2022-07-08,144.14637756347656,144.64635079248632,142.1465295229667,142.40140757015126,64547800,135.50289611816407,142.06476287841798,57.64249835519761,-1,0.0
2022-07-11,142.01904296875,143.75421464886333,140.9504970864819,142.80330245388922,63141600,135.61220016479493,141.83987030029297,54.17285949957032,-1,0.0
2022-07-12,142.9896240234375,145.52865186539117,142.19556639366533,142.89158593841137,77588800,136.04011077880858,141.49597595214843,55.48925688896306,-1,0.0
2022-07-13,142.6268768310547,143.5679764107693,139.32318560371215,140.1760748610569,71185600,136.70721893310548,141.2620962524414,54.85504011610585,-1,0.0
2022-07-14,145.54823303222656,146.0187828364424,140.43095716603992,141.24462523992875,78140700,137.4772621154785,141.08057495117188,58.9265469460889,-1,0.0
2022-07-15,147.2147674560547,147.89119117713278,145.28353435270415,146.83244295612025,76259900,138.19975967407225,140.90262634277343,61.08281041269588,-1,0.0
2022-07-18,144.17579650878906,148.58724039251226,143.81306761767442,147.77357228115997,81420900,139.03352279663085,140.53586029052735,55.37402588565636,-1,0.0
2022-07-19,148.0284423828125,148.25391198084102,144.01893385798232,145.0090524915063,82982400,139.98639602661132,140.42724060058595,60.42384132559854,-1,0.0
2022-07-20,150.02828979492188,150.6949157224323,147.41083503397257,148.1460756395822,64823400,140.8279998779297,140.34410919189452,62.77837842742651,1,2.0
2022-07-21,152.29287719726562,152.50854901941838,148.94997891240936,151.45959834271974,65086600,141.80832138061524,140.40861450195314,65.29620481782241,1,0.0
2022-07-22,151.05763244628906,153.2045374479934,150.3910214648786,152.3320525114364,66675400,142.58375244140626,140.40037902832032,62.80078191708272,1,0.0
2022-07-25,149.9401092529297,151.9889767618816,149.28329591095286,150.97924722556508,53623900,143.13714370727538,140.5268411254883,60.54637366682221,1,0.0
2022-07-26,148.6166534423828,150.07732200029463,147.83239373585778,149.2636538636445,55138700,143.62436218261718,140.70408325195314,57.89572834787583,1,0.0
2022-07-27,153.70449829101562,154.23387992265205,149.16562296270044,149.57735592146827,78620700,144.57282104492188,140.8938735961914,64.35610369583188,1,0.0
2022-07-28,154.2534637451172,154.5377501582959,151.3713185756555,153.89073492463993,81378700,145.46099014282225,141.12542510986327,64.98046758181918,1,0.0
2022-07-29,159.3119354248047,160.409904944982,156.36117506106663,158.0669387195233,101786900,146.7251121520996,141.3856021118164,70.16630238147197,1,0.0
2022-08-01,158.3316192626953,160.3706884793457,157.72382510643268,157.84145882480365,67829400,147.83189392089844,141.79125915527345,68.06276870358296,1,0.0
2022-08-02,156.86114501953125,159.21392420256825,156.48863324172908,156.94938527079637,59907000,148.7362403869629,142.2355401611328,64.91887532795374,1,0.0
2022-08-03,162.86070251464844,163.3116417148104,157.58657171952117,157.67479700322565,82507500,149.8739028930664,142.79510711669923,70.83759776678782,1,0.0
2022-08-04,162.54701232910156,163.89986001020398,161.19416464799912,162.74307352499065,55474100,150.82775497436523,143.24017303466798,70.17097769136687,1,0.0
2022-08-05,162.3212432861328,162.81208464474912,160.0142829089203,160.22044287042655,56697000,151.73649826049805,143.7346405029297,69.66286035793091,1,0.0
2022-08-08,161.85000610351562,164.73615535552312,161.1922805564501,163.32253000929188,60276900,152.72804641723633,144.21654724121095,68.54713922455883,1,0.0
2022-08-09,161.89910888671875,162.78263230320212,160.25970057725633,161.0156004495246,63135500,153.67352066040038,144.63551879882812,68.6035660894073,1,0.0
2022-08-10,166.1399688720703,166.23812814464867,163.8428202002786,164.60853143111325,70170500,154.84917526245118,145.02441345214845,73.0932832603435,1,0.0
2022-08-11,165.4037322998047,167.8579391801427,165.10922447830612,166.94496643142614,57149200,155.8419502258301,145.4142694091797,71.18998991717844,1,0.0
2022-08-12,168.94757080078125,169.01628078921996,166.29701596444957,166.70933581222894,68039400,156.9285903930664,145.87755035400392,74.61628428248721,1,0.0
2022-08-15,170.0176239013672,170.21395743937939,168.21133138479297,168.37821564106778,54091700,158.2206817626953,146.3132159423828,75.56137630430672,1,0.0
2022-08-16,169.86053466796875,170.52808660786044,168.51563433427114,169.61511402434292,56377100,159.31228637695312,146.8600457763672,75.11919983372754,1,0.0
2022-08-17,171.35269165039062,172.92337473871223,169.40896440067246,169.6052979143018,79542000,160.37850646972657,147.42181823730468,76.52448260076764,1,0.0
2022-08-18,170.9600067138672,171.69626861182405,169.94887490568271,170.5673396933382,62290100,161.31186294555664,147.92534790039062,75.31884321101525,1,0.0
2022-08-19,168.3782196044922,170.55755638009072,168.17205964818893,169.86055507755876,70346300,162.1778923034668,148.39194702148438,67.76006331701103,1,0.0
2022-08-22,164.5005645751953,166.74861119438174,164.07843325743647,166.58172694573366,69026800,162.9059150695801,148.88529907226564,58.297076043941594,1,0.0
2022-08-23,164.16676330566406,165.61966421752064,163.59738564765863,164.01951691966545,54147100,163.68342056274415,149.48000610351562,57.551969901418104,1,0.0
2022-08-24,164.46127319335938,165.03065085876125,163.20472075222654,164.2551282502834,53841500,164.22125930786132,150.18353729248048,58.061280966553625,1,0.0
2022-08-25,166.91546630859375,167.02345197761028,165.2662469773801,165.6883632421721,51218200,164.85435943603517,150.91889923095704,62.13810066052981,1,0.0
2022-08-26,160.62294006347656,167.9168512892463,160.56404149028532,167.44564772442519,78961000,164.91990966796874,151.47606170654296,48.98876481174511,1,0.0
2022-08-29,158.42393493652344,159.91608162954805,156.89251255304256,158.19813716461735,73314000,164.92452545166014,152.0945297241211,45.37508873490887,1,0.0
2022-08-30,155.9991912841797,159.58232691391927,154.83098655063566,159.1602105704912,77906200,164.88142776489258,152.63509399414062,41.720592867970154,1,0.0
2022-08-31,154.3401336669922,157.63858767600124,154.2615972644816,157.3735291899389,87991100,164.45539932250978,153.05797241210936,39.383354467221565,1,0.0
2022-09-01,155.06658935546875,155.5181549609377,151.83684522830168,153.77076113952282,74229900,164.0813781738281,153.50557525634767,40.94345617510603,1,0.0
2022-09-02,152.95596313476562,157.42262194968552,152.13135334781393,156.82379496598037,76957800,163.61311416625978,153.8537142944336,37.892076155165036,1,0.0
2022-09-06,151.6994171142578,154.21252227519972,150.87480729194033,153.60388383195894,73714800,163.10558471679687,154.11025695800782,36.16408683218355,1,0.0
2022-09-07,153.1031951904297,153.8001813128386,150.79623553618094,151.9840778426693,87449600,162.66578903198243,154.39487518310546,39.48429627889217,1,0.0
2022-09-08,151.6306915283203,153.49588236025656,149.88328282837716,151.80738719524012,84923800,161.94032516479493,154.73278259277345,37.29314660024841,1,0.0
2022-09-09,154.48736572265625,154.92913481819144,151.91536244109605,152.62217501880943,68028800,161.3945068359375,155.09272827148436,43.80808734003686,1,0.0
