Date,Close,High,Low,Open,Volume,MA20,MA50,RSI,Momentum
2022-01-03,335.59295654296875,338.11082360220985,334.2547024867432,335.35502521507095,14537900,,,,
2022-01-04,333.6004638671875,340.103355842502,328.9810261084693,336.9907056585959,15998000,,,,
2022-01-05,321.34808349609375,332.8371878445383,321.0209392355223,330.1210192265055,20564500,,,,
2022-01-06,329.56591796875,336.2175290132258,319.9107146206738,320.00985016827264,27962800,,,,
2022-01-07,328.90167236328125,334.06630920719516,326.01700119657414,329.8433841639045,14722000,,,,
2022-01-10,325.2140808105469,325.48171950640443,312.6841004601609,322.47809757856305,24942400,,,,
2022-01-11,331.45928955078125,331.7170359199198,322.44842203223953,323.9353644660303,16226800,,,,
2022-01-12,330.3589782714844,333.4418911715471,327.1570845609265,332.26224771249537,14104900,,,,
2022-01-13,323.6379699707031,332.7083122589069,322.92423643234406,332.06397662403594,14797100,,,,
2022-01-14,329.01080322265625,329.8335950106645,318.41385729202096,318.98882533095343,16868500,,,,
2022-01-18,315.38043212890625,321.38767615026325,314.8748923561218,320.47570188239416,22645600,,,,
2022-01-19,316.80792236328125,324.25255648211686,316.5501760176956,316.7979997340146,20814700,,,,
2022-01-20,313.8043212890625,324.96631190525255,313.2293835392829,321.08042246053043,16925000,,,,
2022-01-21,300.5308837890625,315.5390726265912,300.4020106136228,312.06954052686575,28710700,,,23.902022763752413,
2022-01-24,306.02264404296875,306.8355131318804,286.4941524130444,295.24727318173785,38878100,,,31.438789980313018,
2022-01-25,297.53717041015625,303.56426059087903,294.9895351520155,297.33892957316243,25108500,,,26.99068439303977,
2022-01-26,292.0652770996094,304.8331626944224,288.3181828708643,304.33751514960466,28348800,,,24.575968082030542,
2022-01-27,292.0751037597656,299.08353474916333,291.69840690917283,295.1580159546106,21629900,,,24.589015958181832,
2022-01-28,299.0835266113281,299.2718750314997,290.47909555515713,293.04654529359937,21871600,,,33.43372192285999,
2022-01-31,310.53302001953125,311.0584050556387,296.71436802993236,298.0625144426168,21579500,316.62652587890625,,44.81998608329476,
2022-02-01,316.2229919433594,316.87725003967853,309.40287994139106,311.8216412967848,18023800,315.6580276489258,,49.44779695917678,
2022-02-02,320.1882629394531,325.1447375979586,314.11162016781816,324.96631177071333,58458300,314.98741760253904,,52.44124488895218,
2022-02-03,235.6902618408203,245.84112671168018,233.6977646059621,242.52028286095725,188119900,310.7045265197754,,22.231158659800485,
2022-02-04,235.02609252929688,240.49804434059385,228.10685870647143,232.92455228605658,89342200,305.97753524780273,,22.123277528404415,
2022-02-07,222.95216369628906,236.2256032374625,222.05998911424538,235.63082018276674,88613800,300.6800598144531,,20.203848785634364,
2022-02-08,218.26329040527344,223.80464005138572,214.26837341391084,218.927471258292,94729700,295.33252029418946,,19.496421195373145,
2022-02-09,229.98040771484375,231.3384768338874,220.27563768264372,222.24830477510113,86563300,290.2585762023926,,26.4289517561525,
2022-02-10,226.0846405029297,232.9543070635339,224.72655617184256,226.28289646247256,49310400,285.0448593139648,,25.638410383308454,
2022-02-11,217.63882446289062,228.41419647991736,216.86561555808981,226.4712667130708,46156900,279.7449020385742,,23.96480930879386,
2022-02-14,215.8048858642578,219.0761618951234,212.9103067167767,217.4008711781249,38184000,274.0846061706543,,23.604493437322475,
2022-02-15,219.07615661621094,219.22484478977512,213.18786292773044,218.55077156833923,42685500,269.2693923950195,,25.749003481513284,
2022-02-16,214.6549835205078,215.56698810761435,210.51137824316746,210.56094601163443,45817500,264.16174545288084,,24.738273010051813,
2022-02-17,205.90185546875,215.60662518366414,205.3566402879214,212.15692341599396,38747500,258.76662216186526,,22.827765365415118,
2022-02-18,204.36534118652344,208.9153807236556,203.39386138428333,207.5672191801396,37128400,253.95834503173828,,22.49928745520755,
2022-02-22,200.3208770751953,205.67386353473034,198.31845712325313,200.57860830625324,39852400,248.67325668334962,,21.617512897558512,
2022-02-23,196.72247314453125,205.13857243054682,196.32596122833482,202.38277377288952,44481400,243.63252182006835,,20.83513125834017,
2022-02-24,205.79281616210938,206.53628729690607,188.56410689144704,189.3967909321892,49957200,239.31889877319335,,27.91694633104997,
2022-02-25,208.64773559570312,209.48043476464565,201.4112801723448,203.15596878731102,37627600,235.14753036499025,,30.038367269598282,
2022-02-28,209.19293212890625,211.2944721811679,205.0294971593874,205.87208863036133,34239800,230.65300064086915,,30.459265269074848,
2022-03-01,201.71861267089844,209.90670342528273,200.45966386254756,208.0430640988383,27094900,225.2122802734375,,27.974515007561266,
2022-03-02,206.29835510253906,207.32929500748185,200.26137358602065,202.99734170471942,29452100,219.71604843139647,,31.653545546192987,
2022-03-03,201.20309448242188,207.25990594568566,199.66658461103572,207.20043068147,27263500,213.76679000854492,,29.828044776327815,
2022-03-04,198.3184356689453,204.09768617974882,197.0594870351308,200.60832424142328,32130900,211.89819869995117,,28.81485943628222,
2022-03-07,185.83804321289062,199.1412180323185,185.6496947748115,199.0420824988162,38560600,209.43879623413085,,24.877623239536646,
2022-03-08,188.6334991455078,194.9877030604823,184.48989373978588,186.2147523045471,37508100,207.7228630065918,,27.274633931662635,
2022-03-09,196.7720489501953,197.36683197473633,192.2319162323501,194.03608031442005,31894700,206.6483009338379,,33.888518337885586,
2022-03-10,193.5106658935547,194.57134347134718,189.40670599838367,193.14387652938188,24853000,204.82481384277344,,32.60871330058589,
2022-03-11,185.97682189941406,191.8750230568434,185.0450023478886,190.96303363699852,34694500,202.81942291259764,,29.808265774330422,
2022-03-14,185.00537109375,190.61608870370827,184.20242464895531,185.40188300136523,31010500,201.18775024414063,,29.456971761005292,
2022-03-15,190.3583526611328,190.60617637861344,184.29163289751435,189.1390642063968,31721700,199.91542358398436,255.37381622314453,34.06792185892006,
2022-03-16,201.8573760986328,201.95649650852528,192.8266793674669,193.0051051808488,40640300,199.05448455810546,252.6991046142578,42.728117031747345,
2022-03-17,206.03073120117188,206.22898715868908,199.35932066827604,199.9441810370378,29499700,198.62327194213867,250.1477099609375,45.52477289401897,
2022-03-18,214.60545349121094,214.9127525117437,204.2067638110222,204.90066726479952,52128000,199.0584518432617,248.01285736083983,50.836765053833865,
2022-03-21,209.6489715576172,212.84094246310048,205.82257249783686,212.632763871021,30142300,199.3226333618164,245.6145184326172,47.92751257426997,
2022-03-22,214.7640380859375,217.54958951329053,208.3503587518727,209.53000212527914,31998800,200.0447914123535,243.3317657470703,51.04134628257993,
2022-03-23,211.601806640625,214.91272782980164,210.3131203024904,211.47293346902381,23717300,200.78875808715821,241.05952026367189,49.08709038223809,
2022-03-24,217.65859985351562,218.7490150246612,212.92019693825017,213.12837549531818,31502300,201.3820472717285,238.78350646972658,52.813661125996205,
2022-03-25,219.88902282714844,223.5369804809676,216.98452115761796,218.59041391544503,40039000,201.9441116333008,236.57410736083983,54.14472805368275,
2022-03-28,221.64361572265625,222.08969538769563,217.6288684853834,220.19633368710993,26224100,202.56664581298827,234.5342202758789,55.214990053245245,
2022-03-29,227.85903930664062,228.8800718121414,223.3288144925983,224.1020384066852,31417900,203.8736671447754,232.5111849975586,58.87657534578997,
2022-03-30,225.86651611328125,229.13777670598705,224.73644069693836,226.9172861340614,25588000,204.8520751953125,230.7209066772461,57.2603286365936,
2022-03-31,220.42433166503906,226.50097416228894,220.3251961259612,226.46131389627396,24192300,205.81313705444336,228.79323486328124,52.98223812967014,
2022-04-01,222.89266967773438,225.30150908222552,220.76137651588385,222.59527817538776,19544800,207.0418487548828,226.9750018310547,54.637656141291394,
2022-04-04,231.8539581298828,232.3099604286333,223.89386147924975,224.01281202415882,28054800,209.34264450073243,225.6014633178711,60.1264968342124,
2022-04-05,229.8218231201172,234.79812812439394,229.008969107014,232.04232930701238,29727200,211.40206069946288,224.07744689941407,58.40077600100393,
2022-04-06,221.35610961914062,226.99657888443284,219.48256324046835,224.93468409253606,28995100,212.63126373291016,222.55382568359374,51.738614889899516,
2022-04-07,221.0092010498047,223.55683627381228,216.6574169233372,221.9806658434369,21037200,214.00619049072264,221.13270416259766,51.47945570577407,
2022-04-08,220.39459228515625,223.17022097182485,218.11461103803705,220.44416005430307,18375700,215.72707901000976,219.69909393310547,50.99212550543691,
2022-04-11,214.57569885253906,218.6895666015548,213.34648774183083,216.51862836918798,20516600,217.20559539794922,218.0089373779297,46.50361325036498,
2022-04-12,212.27589416503906,220.09721050095476,211.27469173834876,218.32279924455113,20128800,218.30147247314454,216.04379486083985,44.824239111718235,
2022-04-13,213.11846923828125,214.72436193434646,209.4903267295819,209.97606661494044,19231800,218.86452713012696,213.9817044067383,45.599355894020924,
2022-04-14,208.35035705566406,213.1184982815987,208.1719312322115,213.01936274015176,18379500,218.98050842285156,211.7449462890625,42.00331274301957,
2022-04-18,208.93524169921875,211.5225221343132,206.4867419526521,208.17194034933556,16580800,218.69699783325194,211.20984588623048,42.60127921993074,
2022-04-19,215.41830444335938,216.52854995364393,207.18064578010325,208.6874183483184,20089900,218.98546447753907,210.81769012451173,48.89144306126991,
2022-04-20,198.67532348632812,212.29572095663042,197.18838112552498,211.7505057324773,43036500,218.1810287475586,210.3321533203125,37.47081223322507,
