Date,Close,High,Low,Open,Volume,MA20,MA50,RSI,Momentum
2022-01-03,30.026145935058594,30.61428811203806,29.691203595037003,29.7211098062086,391547000,,,,
2022-01-04,29.19776153564453,30.37205130388123,28.259724925855497,30.181652811785955,527154000,,,,
2022-01-05,27.51706886291504,29.323362739600288,27.446293309746405,28.857832469761814,498064000,,,,
2022-01-06,28.089263916015625,28.348445375941616,26.97976990821359,27.55295802996534,454186000,,,,
2022-01-07,27.16118812561035,28.332488725123685,26.971785978635044,28.05237356874024,409939000,,,,
2022-01-10,27.31371307373047,27.38249602616525,25.563242453455118,26.497291979306667,594681000,,,,
2022-01-11,27.729402542114258,27.976622674926933,26.754483567462675,27.236958685916807,404089000,,,,
2022-01-12,27.910823822021484,28.504945618330236,27.52105444566208,27.978608560513216,383413000,,,,
2022-01-13,26.491310119628906,28.390309630110426,26.41455104320911,28.289627869102336,540171000,,,,
2022-01-14,26.85715103149414,27.1113490250758,26.127455968299266,26.217172683523167,395832000,,,,
2022-01-18,25.82142448425293,26.554110383396345,25.688843914417376,26.177300546732358,424270000,,,,
2022-01-19,24.98805809020996,26.459409683048193,24.97310593684919,25.996872119985937,488315000,,,,
2022-01-20,24.073945999145508,25.49844661807642,24.002172240904777,25.22431303336184,435181000,,,,
2022-01-21,23.30038833618164,24.74482437792811,23.189737849885887,23.432968898581162,718958000,,,14.809418763276256,
2022-01-24,23.298398971557617,23.30637320074799,20.822222081779014,22.259680516494218,913982000,,,14.804687283218342,
2022-01-25,22.25369644165039,22.87074846480711,21.930717378924925,22.47499743870543,664616000,,,12.539066831875871,
2022-01-26,22.700288772583008,23.981242067414527,22.22977501124328,23.166815419200876,755959000,,,18.295298489253327,
2022-01-27,21.87489128112793,23.919432592467135,21.606737447782898,23.49377731200437,573353000,,,16.176260010566793,
2022-01-28,22.7680721282959,22.78601509261585,21.22893388945279,21.94267865750041,543774000,,,26.14499833869631,
2022-01-31,24.408891677856445,24.431819963911636,22.979407443957587,23.108997226913345,564680000,25.689094257354736,,40.21178374998022,
2022-02-01,24.56041145324707,25.065814798100266,23.814765930647102,25.02494354865154,518925000,25.41580753326416,,41.323194495560784,
2022-02-02,25.16250991821289,25.735698020360548,24.475678597564364,25.712771637079914,543419000,25.214044952392577,,45.64699308342444,
2022-02-03,23.872581481933594,24.998025678674647,23.705111287686467,24.38097558762337,410178000,25.031820583343507,,39.01409517533732,
2022-02-04,24.24241065979004,24.557415442950465,23.557574004727897,23.896503370272555,354829000,24.839477920532225,,41.632763576836126,
2022-02-07,24.650127410888672,25.10269624776117,24.125782912567686,24.29524762592509,376868000,24.713924884796143,,44.46394765925051,
2022-02-08,25.0289249420166,25.150540457970152,23.90447719428148,24.282283286827955,410359000,24.59968547821045,,47.03449362446632,
