Date,Close,High,Low,Open,Volume,MA20,MA50,RSI,Momentum
2022-01-03,322.46240234375,325.5931052791262,317.67483390975656,323.04038414975616,28865100,,,,
2022-01-04,316.9330749511719,322.89586164300437,314.1491437576021,322.5394184991603,32674300,,,,
2022-01-05,304.76666259765625,314.1009746877151,304.3813512536725,313.89866197929246,40054300,,,,
2022-01-06,302.3584289550781,307.0015085378214,300.05614444176234,301.6552144415301,39646100,,,,
2022-01-07,302.5125732421875,304.88226603603744,298.7075537396608,302.61852137240913,32720000,,,,
2022-01-10,302.73406982421875,303.16756341784094,293.5057361453158,298.1295306229004,44289500,,,,
2022-01-11,303.4180908203125,304.9882339809429,298.5149321522782,301.8768158812795,29386800,,,,
2022-01-12,306.5872497558594,311.538589841844,305.44092874443083,307.93588346156525,34372200,,,,
2022-01-13,293.6117248535156,309.1014943499301,292.84110213316677,308.7065406516053,45366000,,,,
2022-01-14,298.8135681152344,299.4108052070794,292.6003150974251,293.08196170663894,39846400,,,,
2022-01-18,291.5406188964844,298.4281579274619,290.66401874383354,292.90850788347245,42333200,,,,
2022-01-19,292.1957092285156,302.3873676008085,291.58885921501854,295.0470782257124,45933900,,,,
2022-01-20,290.5292663574219,300.21035230338873,290.0861596688608,297.72506851398765,35380700,,,,
2022-01-21,285.16363525390625,292.9470300221771,284.7590392453866,291.57917037846426,57984400,,,18.82456281734119,
2022-01-24,285.49114990234375,286.20397733564954,265.9170285250383,281.4742344395524,85731500,,,19.579534846099733,
2022-01-25,277.9004211425781,284.1618263856482,274.70231034504417,280.81919810306823,72848600,,,15.890717443254843,
2022-01-26,285.8187255859375,297.1759609807795,282.27381356056463,296.68467202710303,90428900,,,30.582853774862514,
2022-01-27,288.83380126953125,296.019959606394,286.9939079100606,291.55029488282537,53481300,,,35.22280948590138,
2022-01-28,296.94476318359375,297.1566888577396,283.64168680427184,289.2095201733317,49743700,,,45.731603843014035,
2022-01-31,299.5649108886719,300.91351540352434,295.124114232146,297.6094269927924,46444500,297.40904235839844,,48.630762611324826,
2022-02-01,297.42633056640625,299.22768361826155,293.92957257286747,299.0157580005511,40950400,296.15723876953126,,46.449583583902886,
2022-02-02,301.9538269042969,303.55289687211734,297.5419577332225,298.26442751039235,36636000,295.4082763671875,,51.41753151502776,
2022-02-03,290.1920471191406,299.8057228648471,288.9493907856898,298.12957287633566,43730000,294.6795455932617,,40.82228408394386,
2022-02-04,294.7099609375,297.4649657244344,288.9590986360355,289.19027962588194,35096500,294.2971221923828,,45.47044757419219,
2022-02-07,289.9030456542969,296.54011926462067,288.8915703465275,294.93143638637616,28533300,293.6666458129883,,41.71605535735922,
2022-02-08,293.3805236816406,294.343816714322,288.9397569117174,290.192026095255,32421200,293.1989685058594,,45.23868427314275,
2022-02-09,299.78643798828125,300.4800101974915,296.10668068130565,298.4956287595179,31284700,293.0173858642578,,51.1016044522896,
2022-02-10,291.280517578125,297.7731024456367,289.66219252942125,292.8795873514991,45386200,292.2520492553711,,44.31685366384065,
2022-02-11,284.2099609375,293.12042074814497,283.4200536610799,292.060792620919,39175600,291.78196105957034,,39.60912341815548,
2022-02-14,284.17144775390625,285.866852917156,280.65543402557785,282.9865867276755,36359500,291.0498550415039,,39.584456900657514,
2022-02-15,289.4406433105469,289.7585170595813,286.11727076561556,288.9975367703456,27058300,290.94485626220705,,44.66202172109951,
2022-02-16,289.1028137207031,290.42524925713894,283.484848801482,288.0120371225755,29982100,290.7902114868164,,44.40434787423419,
2022-02-17,280.6373596191406,286.49661803620563,279.9326908613435,286.07189021755596,32461600,290.29561614990234,,38.42226789323671,
2022-02-18,277.9344482421875,283.65858009488875,276.3706915634675,282.87670175552876,34264000,289.9341567993164,,36.721244297223954,
2022-02-22,277.7318420410156,281.41923835084543,274.62362270761514,275.1062652782788,41736100,289.54619140625,,36.59047643696977,
2022-02-23,270.5404052734375,281.5736347601143,270.37632332672223,280.10638276693766,37811200,289.17819061279295,,32.20644167604246,
2022-02-24,284.3632507324219,284.913470148122,262.0941229321313,263.04977493259855,56989700,289.1054168701172,,45.67875338122464,
2022-02-25,286.98876953125,287.2976676812371,281.52525501821714,284.8941183913506,32546700,289.01316528320314,,47.80063558706853,
2022-02-28,288.4174499511719,288.7553055184813,282.82844278237695,284.09296349755033,34627500,288.58679962158203,,48.968768434422906,
2022-03-01,284.7107849121094,289.5565043668673,282.00796959435814,286.1104303022666,31217800,287.8440933227539,,46.08712919011994,
2022-03-02,289.7688903808594,291.0044539337732,283.50420050610404,285.10654759375143,31873000,287.4612213134766,,50.378349905889316,
2022-03-03,285.6470947265625,292.6067899776218,283.8419873820218,292.37513104919077,27314500,286.64588470458983,,47.089134170290016,
2022-03-04,279.7975158691406,285.3961869424116,277.20092613588724,284.07375111161906,32356500,286.1261581420898,,42.816618963429086,
2022-03-07,269.2276306152344,279.6334012626767,268.8608176186458,278.5136671787281,43157200,284.85204162597654,,36.39134845637078,
2022-03-08,266.27386474609375,274.10231170934804,260.6269417825075,268.1561527618495,48159500,283.6705825805664,,34.81887175496482,
2022-03-09,278.4847106933594,279.5465300399745,271.03270963096804,273.6003711570887,35204500,282.92579193115233,,45.334876478633475,
2022-03-10,275.6756896972656,276.6506367973392,270.83960329634476,273.194900626514,30628000,281.7202545166016,,43.59252857796163,
2022-03-11,270.3473205566406,279.4596114101484,269.7295241457534,277.9634022977425,27209300,280.67359466552733,,40.41920601156391,
2022-03-14,266.8433837890625,275.49232901217977,266.2449118112666,270.60798934145595,30660700,279.80526580810545,,38.43765315224445,
2022-03-15,277.1816101074219,277.8283640849266,269.05392607565614,270.6176832217213,34245100,279.4557739257813,289.28620849609376,46.734917822581124,
2022-03-16,284.170166015625,284.34391018496933,273.36862828246825,279.07343471632413,37826300,279.19225006103517,288.52036376953123,51.49418089041183,
2022-03-17,284.9714050292969,285.3478508163391,279.32448255840876,283.1084122705425,30816600,278.98567962646484,287.8811303710938,52.02346073286564,
2022-03-18,290.00048828125,290.55070765473886,282.56781343474125,285.11614983812484,43390600,279.45383605957034,287.58580688476565,55.318995235991316,
2022-03-21,288.7746276855469,289.7206174710808,284.662504677972,288.5140113733799,28351200,279.99584503173827,287.314130859375,54.339173836626365,
2022-03-22,293.50457763671875,294.4119479641465,288.39821134013704,289.3924537893616,27599700,280.78448181152345,287.13397094726565,57.46939041897346,
2022-03-23,289.0931091308594,292.7032939872879,287.3845657946049,290.07771839086337,25715400,281.71211700439454,286.86115173339846,53.76719512082118,
2022-03-24,293.543212890625,293.6397472949178,287.96386603720487,288.7554069109761,24484500,282.1711151123047,286.66365417480466,56.791096462656725,
2022-03-25,293.13775634765625,294.8945822052207,288.9001703045881,294.63396584716253,22566500,282.478564453125,286.3946643066406,56.428955007364706,
2022-03-28,299.9140319824219,300.0105369064653,293.7651423882981,293.7651423882981,29578200,283.0533935546875,286.52071044921877,60.914776820594014,
2022-03-29,304.4605407714844,304.8563111504665,298.3213129462688,303.01261329342486,30393400,284.04088134765624,286.63364990234373,63.62101649962843,
2022-03-30,302.96441650390625,304.9818886134372,300.76356729713154,302.8679115447785,28163600,284.7006576538086,286.8621258544922,62.097311903131704,
2022-03-31,297.60693359375,304.1998448149147,297.2015305025654,303.00287171477623,33422100,285.298649597168,286.97035034179686,56.846995233767046,
2022-04-01,298.6784973144531,299.36384141537167,294.93318680550044,298.630215389613,27110500,286.2426986694336,287.1333349609375,57.618835573769665,
2022-04-04,304.0357666015625,304.17089116064096,298.9583589270999,299.3251718788428,24289600,287.98310546875,287.51077758789063,61.3416383985617,
2022-04-05,300.08782958984375,303.9393076222428,299.1128822350108,302.394845606696,23156700,289.6738037109375,287.80271118164063,57.344059830866534,
2022-04-06,289.1028137207031,296.3424501243935,286.4096607302466,294.59528689562205,40110400,290.2047088623047,288.0267590332031,47.975437402242974,
2022-04-07,290.9079895019531,293.10883853038496,286.06226851131066,286.36150455996227,31411200,290.96632385253906,288.12854431152346,49.437347420334774,
2022-04-08,286.6606750488281,290.6666017314044,285.99462607140345,290.01021503016705,24361900,291.78199157714846,288.0850817871094,46.151286453847476,
2022-04-11,275.3572082519531,282.452029428348,275.10622472559214,281.6605181173394,34569300,292.20768280029296,287.65333068847656,38.76619949647082,
2022-04-12,272.2682800292969,280.64694661427023,270.7527755355778,279.1990191393396,30966700,291.9620162963867,287.1073980712891,37.02270421437609,
2022-04-13,277.6352844238281,278.56194983374326,271.5346757707154,272.91505579561334,21907200,291.63527221679686,286.7115771484375,41.911132799653906,
2022-04-14,270.11566162109375,278.3012882088098,269.6233863517897,278.088924351685,28221600,290.8924850463867,286.07481384277344,37.51709980269664,
2022-04-18,270.78167724609375,272.654332085389,268.67736348503956,269.22758288237094,20778000,289.9315444946289,285.6866064453125,38.13575219486017,
2022-04-19,275.39581298828125,276.2356357266572,268.74501431186735,269.6813419887161,22297700,289.2626037597656,285.3003234863281,42.391379848152276,
2022-04-20,276.4189758300781,279.6430533893089,275.4633531849248,279.35345023812204,22906700,288.40832366943357,285.03064208984375,43.322432337583784,
2022-04-21,271.0616455078125,283.1180442640561,270.33768184591173,278.5618984401678,29454600,287.5067504882812,284.5842645263672,39.704085157410006,
2022-04-22,264.51702880859375,273.36870459899797,263.8895994942571,271.90145264874303,29405800,286.05544128417966,283.8788763427734,35.77331977828008,
2022-04-25,270.974853515625,271.35129941286607,261.3702543115975,263.802791787971,35678900,284.9472961425781,283.47276306152344,41.88699012667335,
2022-04-26,260.8392333984375,268.6966355558546,260.62686958563427,267.8665048519019,46518400,282.9935562133789,283.0053485107422,36.081718868747835,
2022-04-27,273.3879699707031,280.86892738240044,269.46891592845344,272.30685567741426,63477700,281.43992767333987,282.7896789550781,46.05094729990615,
2022-04-28,279.57550048828125,280.8786411356231,271.689109042136,275.28963271284965,33646600,280.2704818725586,282.5923760986328,50.177294798733975,
2022-04-29,267.8858947753906,279.81683323611406,266.9013146355611,278.59090237715037,37073900,278.7844299316406,282.16803771972656,43.42045613034754,
